id,name,climb_category,climb_category_desc,avg_grade,start_lat,start_lng,end_lat,end_lng,elev_difference,distance,points
21769790,Traditional with Icing on Top,0,NC,7.0,47.686787,-116.711279,47.692298,-116.710678,45.2,633.3,ky`bHndjgUsL?eAJ{AEqBB{BAc@Eg@Oi@g@Oe@KQWQi@OI?UFUN
24016066,Ohio Matches Strikeout Climb,0,NC,2.3,47.823204,-116.658394,47.829019,-116.684327,77.4,3285.6,_n{bH~y_gUUtBMl@Qf@Q|@SvAM\QV_Ah@[\OTUz@{@`FSv@Mt@An@LbARnAFh@?`AKdFAlB@j@TxB@lCKl@ELOPOLiA`@YVMRSj@Ed@Jz@j@|AN|@H~@\|C@n@Kl@KT]`@QNQBQCc@QeBgBiAs@o@m@]U[IWCI?SFSLORYt@E\Ah@DZFXLVX\h@b@l@Xl@`@h@r@vA`CR|@JrAJZNVPTd@X`@\PRLVJ^Bp@AvA@dAE`AQz@aAvDMTIHSHUB_@G]Oe@YsDcCoAq@k@SeASeAGO?[D[LQNOVKZGj@Dp@Lh@JVPRPJh@P\TV`@Tt@?l@Mf@]p@e@p@Sn@Ev@Fv@J^NZrBjC\l@HZHl@H~B?\EZS`AO^g@z@_@z@W^QLe@RY@
656567,Riverview - Gabe's Place,1,4,5.0,47.693589,-116.857992,47.684789,-116.843664,96.1,1929.0,{cbbHnyfhUXuDPuA\cBLi@Re@`@m@ZUZMh@O~@Sb@Kn@[d@c@|@gBdD}HdAqBdAqAl@c@LGZEXOXSPWZu@r@aC\eA|A}FXm@JONKPAVJNTJ\JhBN~EL|ADTTp@V`@LJF?FCFGBKHk@VyCh@qEjFu\^gC
888080,W Heine Rd Climb,1,4,4.7,47.66483638905702,-116.83714086200747,47.6686560223323,-116.85887999843513,90.1,1904.4,ep|aHdwbhU[Z[b@u@hAYf@Qj@]zASj@S\_@R{@^mAjAWJ[RQX[\MZ@^IVWd@?ZD`@Cd@MzAWhANh@@h@Dh@In@w@hBYd@c@`AQZQt@?JP`@ErB@VFd@Gf@{@zCMb@Gf@Cd@?b@FZB|AOfAA\c@~AMhAKf@Gn@@z@EfAF^l@lAN`@Jj@VhBV|@Jz@@^E^Kd@iArCOf@Ap@Hj@Al@Jx@JRLl@FTB`@p@lCD^FhCKvAAl@c@xBClB
4291835,Riverview Climb - Foothill to Stop sign,0,NC,6.7,47.692979,-116.855699,47.686637,-116.851176,75.8,1124.5,a`bbHbkfhU\_@^Up@W|AYd@S`@]f@o@Xo@pEmKb@y@r@y@HMVWr@c@j@OTIFE\e@Tk@Ns@d@uAjBgHPe@Zm@RQJCT@HBNPJTR`CLzC@n@JxALr@DJVf@LJF@
25480088,Climb back up,0,NC,8.1,47.670548,-116.843401,47.672056,-116.839382,31.0,382.3,{s}aHh~chUw@uAMa@Ec@HkBAu@Ms@Qm@We@q@s@m@Wa@KSSGMGc@K_E
9970258,"Panorama View, the climb up the hill.",0,NC,2.9,47.6043,-116.771109,47.607335,-116.770684,10.2,342.4,{upaHlzugU[Eu@?GAUMk@KWMGAg@@UKi@KY@WEY@}@EmA?q@Bo@G
1705650,Echo Bay Climb,0,NC,3.1,47.60678404010832,-116.76691300235689,47.620039600878954,-116.77190425805748,57.8,1869.9,keqaHf`ugUo@ESIs@c@a@e@[o@e@}B[q@GI_@Sg@Io@DSH}@p@k@RSBUAc@Km@W_Ak@uEiB_@Kg@Gi@?WEuCA{AL_ANUJQNORSb@WvAKjAIVi@~@WZ]N]H[T{@b@{AhAo@p@wCjCw@x@}@lAcAjBG\E^IdBWnDEtACP]dA]j@WVi@R{@AoA]eDmA
29020011,Gozzer Rd Climb,1,4,4.7,47.607634,-116.766004,47.620363,-116.765176,85.6,1812.0,ujqaHpztgUm@gBQYg@m@_@K_@C]H_@Pa@Zs@\W@a@Ac@KsAy@u@]gBeAs@_@s@UWEq@Gw@AaADWAI@YHeAFe@Fg@JMFc@^U\Ul@I\QtBOv@Ob@g@z@QRa@Va@J]Py@TYNaA~@y@n@y@x@sBjBW\OFG?EEKQESGo@F}@j@{BFe@?UG{@ISQY_@YKCa@CUKmAkAi@Ic@?[H{@Gi@WcAcA]U]Oc@I_@Bc@CSD
10693331,DEA Bump,0,NC,4.7,47.733218,-116.793125,47.733595,-116.796343,11.6,246.7,q{ibH`dzgUA|CKzCSbCi@dE
13198147,Legs don't fail me now! Old Highway 95 from Mica Creek Climb,1,4,6.1,47.603902,-116.876811,47.617237,-116.874254,123.1,2019.8,kspaHbojhUa@aCMc@a@oAGcAFu@TgA~@eCXsAB[?u@Ga@Ke@Wk@_AcA_@YqAsBkAqAe@w@YUc@i@SOSYSQg@q@g@a@UKW?UDk@VGF[h@k@vAYd@_@f@SN_@RiARk@DmA?gAKg@UcBm@YA}@JaBf@cAf@]Ja@Vw@\wAx@_Ar@cAb@aBdAiAn@gD`CgCxAwAdAc@R[LUDk@B[Aa@Gc@OaAk@
31993400,Highway 95 - Mica,1,4,4.2,47.599364,-116.886003,47.620924,-116.871973,126.0,3001.3,_woaHphlhUmEaEQS{BoBaMeLuAyAw@mAy@_B_AcCm@_C_@qBQkAc@wEu@{Gg@wCo@}BaAiCm@kAi@{@o@w@y@{@}@w@o@a@kAm@o@SeAWkAOu@CoA@o@D{@Ly@R{@ZkQnIgHdDYHiATo@Dy@@i@EgAQw@Ww@a@{AiAyHsGcC{AyB_A
16283808,Community Garden Up,0,NC,0.1,47.709194,-116.939663,47.709513,-116.926923,4.0,957.2,meebH|wvhU@kRAgJ_A_p@
16283777,Community Garden Sprint,0,NC,-0.3,47.709569,-116.926952,47.709189,-116.939541,5.2,933.3,wgebHnhthUx@za@LjIBxI?rU
15203777,Lincoln sprint west,0,NC,-0.4,47.708208,-116.931116,47.708219,-116.940467,3.9,699.9,g_ebHnbuhU@vSC`J@nFAbR
15695716,Southbound Greensferry Bridge,0,NC,-0.3,47.714708,-116.915862,47.71108,-116.916002,1.9,404.5,{gfbHdcrhUbBAhABjC\bC?dAAxB@tAC
24413104,1 Kilometer Dash,0,NC,-0.5,47.728019,-116.937474,47.719051,-116.937409,5.3,998.4,a{hbHfjvhUt@ArDYfCBvJAbB@b@BhCCn@HpGAxDDlECx@?
15994319,Black Forest blast,0,NC,-0.2,47.704681,-116.914947,47.702962,-116.908351,3.1,683.9,gidbHl}qhUD_JC{J@eDAaBSyE@]F[HY^a@n@AlALf@@rA@z@A
14425418,Handy - Plaza to 3rd,0,NC,-0.4,47.702959,-116.923925,47.707767,-116.923849,5.0,535.6,m~cbHpushUoABmEGe@GcBGiHDoFA
15203770,Black Bay Hillclimb,0,NC,0.2,47.704128,-116.928301,47.707276,-116.930003,3.6,382.9,wedbH|pthUOBc@CQHEPaAf@_AZ_@HQ?]N_@Hm@ZODMLMD]^a@Ze@Jk@DUDQPUb@MN
15623157,Tall Timber ,0,NC,-0.0,47.702871,-116.919182,47.702867,-116.919256,1.9,854.5,}}cbH|wrhU@vBCtACR@\Cr@CP?p@A`@@n@C`@CfADnBJ^JHRHxA?LGHIN[Ha@Fs@CiACeRCa@EOMYQQa@Im@Ca@DIDGJCZ?^HlA?r@
10915628,Northbound Greensferry Bridge Sprint ,0,NC,-0.1,47.711487,-116.915811,47.713512,-116.915714,0.6,226.3,wsebHzbrhUiFBeBAeAU
7107030,Beach House to Bridge Sprint,0,NC,2.7,47.660083,-116.743241,47.661889,-116.748798,13.2,462.6,or{aHhlpgUoGxYwAzF
